| ENTERPRISE_ENUMERATE                 | CLOUD_ADMIN      | 
| ENTERPRISE_ADMINISTER_ALL            | CLOUD_ADMIN      | 
| ENTERPRISE_RESOURCE_SUMMARY_ENT      | CLOUD_ADMIN      | 
| PHYS_DC_ENUMERATE                    | CLOUD_ADMIN      | 
| PHYS_DC_RETRIEVE_RESOURCE_USAGE      | CLOUD_ADMIN      | 
| PHYS_DC_MANAGE                       | CLOUD_ADMIN      | 
| PHYS_DC_RETRIEVE_DETAILS             | CLOUD_ADMIN      | 
| PHYS_DC_ALLOW_MODIFY_SERVERS         | CLOUD_ADMIN      | 
| PHYS_DC_ALLOW_MODIFY_NETWORK         | CLOUD_ADMIN      | 
| PHYS_DC_ALLOW_MODIFY_STORAGE         | CLOUD_ADMIN      | 
| PHYS_DC_ALLOW_MODIFY_ALLOCATION      | CLOUD_ADMIN      | 
| VDC_ENUMERATE                        | CLOUD_ADMIN      | 
| VDC_MANAGE                           | CLOUD_ADMIN      | 
| VDC_MANAGE_VAPP                      | CLOUD_ADMIN      | 
| VDC_MANAGE_NETWORK                   | CLOUD_ADMIN      | 
| VDC_MANAGE_STORAGE                   | CLOUD_ADMIN      | 
| VAPP_CUSTOMISE_SETTINGS              | CLOUD_ADMIN      | 
| VAPP_DEPLOY_UNDEPLOY                 | CLOUD_ADMIN      | 
| VAPP_ASSIGN_NETWORK                  | CLOUD_ADMIN      | 
| VAPP_ASSIGN_VOLUME                   | CLOUD_ADMIN      | 
| VAPP_PERFORM_ACTIONS                 | CLOUD_ADMIN      | 
| VAPP_CREATE_STATEFUL                 | CLOUD_ADMIN      | 
| VAPP_CREATE_INSTANCE                 | CLOUD_ADMIN      | 
| APPLIB_VIEW                          | CLOUD_ADMIN      | 
| APPLIB_ALLOW_MODIFY                  | CLOUD_ADMIN      | 
| APPLIB_UPLOAD_IMAGE                  | CLOUD_ADMIN      | 
| APPLIB_MANAGE_REPOSITORY             | CLOUD_ADMIN      | 
| APPLIB_DOWNLOAD_IMAGE                | CLOUD_ADMIN      | 
| APPLIB_MANAGE_CATEGORIES             | CLOUD_ADMIN      | 
| USERS_VIEW                           | CLOUD_ADMIN      | 
| USERS_MANAGE_ENTERPRISE              | CLOUD_ADMIN      | 
| USERS_MANAGE_USERS                   | CLOUD_ADMIN      | 
| USERS_MANAGE_OTHER_ENTERPRISES       | CLOUD_ADMIN      | 
| USERS_PROHIBIT_VDC_RESTRICTION       | CLOUD_ADMIN      | 
| USERS_VIEW_PRIVILEGES                | CLOUD_ADMIN      | 
| USERS_MANAGE_ROLES                   | CLOUD_ADMIN      | 
| USERS_MANAGE_ROLES_OTHER_ENTERPRISES | CLOUD_ADMIN      | 
| USERS_MANAGE_SYSTEM_ROLES            | CLOUD_ADMIN      | 
| USERS_MANAGE_LDAP_GROUP              | CLOUD_ADMIN      | 
| USERS_ENUMERATE_CONNECTED            | CLOUD_ADMIN      | 
| SYSCONFIG_VIEW                       | CLOUD_ADMIN      | 
| SYSCONFIG_ALLOW_MODIFY               | CLOUD_ADMIN      | 
| EVENTLOG_VIEW_ENTERPRISE             | CLOUD_ADMIN      | 
| EVENTLOG_VIEW_ALL                    | CLOUD_ADMIN      | 
| APPLIB_VM_COST_CODE                  | CLOUD_ADMIN      | 
| SYSCONFIG_SHOW_REPORTS               | CLOUD_ADMIN      | 
| USERS_DEFINE_AS_MANAGER              | CLOUD_ADMIN      | 
| PRICING_VIEW                         | CLOUD_ADMIN      | 
| PRICING_MANAGE                       | CLOUD_ADMIN      | 
| USERS_MANAGE_CHEF_ENTERPRISE         | CLOUD_ADMIN      | 
| MANAGE_HARD_DISKS                    | CLOUD_ADMIN      | 
| APPLIB_MANAGE_GLOBAL_CATEGORIES      | CLOUD_ADMIN      | 
| VDC_ENUMERATE                        | USER             | 
| VDC_MANAGE_VAPP                      | USER             | 
| VAPP_CUSTOMISE_SETTINGS              | USER             | 
| VAPP_DEPLOY_UNDEPLOY                 | USER             | 
| VAPP_ASSIGN_NETWORK                  | USER             | 
| VAPP_ASSIGN_VOLUME                   | USER             | 
| VAPP_PERFORM_ACTIONS                 | USER             | 
| VAPP_CREATE_STATEFUL                 | USER             | 
| VAPP_CREATE_INSTANCE                 | USER             | 
| EVENTLOG_VIEW_ENTERPRISE             | USER             | 
| ENTERPRISE_RESOURCE_SUMMARY_ENT      | ENTERPRISE_ADMIN | 
| VDC_ENUMERATE                        | ENTERPRISE_ADMIN | 
| VDC_MANAGE                           | ENTERPRISE_ADMIN | 
| VDC_MANAGE_VAPP                      | ENTERPRISE_ADMIN | 
| VDC_MANAGE_NETWORK                   | ENTERPRISE_ADMIN | 
| VDC_MANAGE_STORAGE                   | ENTERPRISE_ADMIN | 
